material_id,property,temperature_C,value,unit,source,grade_notes
AISI1045,elastic_modulus,600,140,GPa,Literature,
AISI1045,yield_strength,20,330,MPa,Literature,Normalized condition
AISI1045,yield_strength,200,290,MPa,Literature,
AISI1045,yield_strength,400,250,MPa,Literature,
AISI1045,yield_strength,600,180,MPa,Literature,
AISI1045,ultimate_strength,20,625,MPa,Literature,
AISI1045,JC_A,20,553.1e6,Pa,Experimental,From MDPI 2019 study
AISI1045,JC_B,20,600.8e6,Pa,Experimental,
AISI1045,JC_n,20,0.234,,Experimental,
AISI1045,JC_C,20,0.0134,,Experimental,
AISI1045,JC_m,20,1.0,,Experimental,
AISI4140,density,20,7850,kg/m3,Literature,Alloy steel with Cr-Mo
AISI4140,thermal_conductivity,20,42.6,W/mK,Literature,
AISI4140,thermal_conductivity,200,40.2,W/mK,Literature,
AISI4140,thermal_conductivity,400,36.5,W/mK,Literature,
AISI4140,thermal_conductivity,600,31.8,W/mK,Literature,
AISI4140,specific_heat,20,475,J/kgK,Literature,
AISI4140,specific_heat,200,515,J/kgK,Literature,
AISI4140,specific_heat,400,575,J/kgK,Literature,
AISI4140,specific_heat,600,640,J/kgK,Literature,
AISI4140,elastic_modulus,20,205,GPa,Literature,
AISI4140,elastic_modulus,200,190,GPa,Literature,
AISI4140,elastic_modulus,400,170,GPa,Literature,
AISI4140,elastic_modulus,600,140,GPa,Literature,
AISI4140,yield_strength,20,415,MPa,Literature,Quenched and tempered
AISI4140,yield_strength,200,370,MPa,Literature,
AISI4140,yield_strength,400,320,MPa,Literature,
AISI4140,yield_strength,600,230,MPa,Literature,
AISI4140,ultimate_strength,20,655,MPa,Literature,
AISI4140,JC_A,20,792e6,Pa,Literature,Estimated from literature
AISI4140,JC_B,20,510e6,Pa,Literature,
AISI4140,JC_n,20,0.26,,Literature,
AISI4140,JC_C,20,0.014,,Literature,
AISI4140,JC_m,20,1.03,,Literature,
Al6061_T6,density,20,2700,kg/m3,Literature,General purpose aluminum alloy
Al6061_T6,thermal_conductivity,20,167,W/mK,Literature,
Al6061_T6,thermal_conductivity,200,190,W/mK,Literature,
Al6061_T6,thermal_conductivity,400,220,W/mK,Literature,
Al6061_T6,specific_heat,20,896,J/kgK,Literature,
Al6061_T6,specific_heat,200,950,J/kgK,Literature,
Al6061_T6,specific_heat,400,1050,J/kgK,Literature,
Al6061_T6,elastic_modulus,20,68.9,GPa,Literature,
Al6061_T6,elastic_modulus,200,64,GPa,Literature,
Al6061_T6,elastic_modulus,400,54,GPa,Literature,
Al6061_T6,yield_strength,20,276,MPa,Literature,T6 temper
Al6061_T6,yield_strength,200,240,MPa,Literature,
Al6061_T6,yield_strength,400,180,MPa,Literature,
Al6061_T6,ultimate_strength,20,310,MPa,Literature,
Al6061_T6,JC_A,20,276e6,Pa,Literature,
Al6061_T6,JC_B,20,154e6,Pa,Literature,
Al6061_T6,JC_n,20,0.22,,Literature,
Al6061_T6,JC_C,20,0.002,,Literature,
Al6061_T6,JC_m,20,1.34,,Literature,
